,Unnamed: 0,en,ru,EasyNMT_3,EasyNMT_5,EasyNMT_10,3_score,5_score,10_score
0,0,For once in my life I'm doing a good deed... And it is useless.,Один раз в жизни я делаю хорошее дело... И оно бесполезно.,Хоть раз в жизни я делаю доброе дело... и оно бесполезно.,Хоть раз в жизни я делаю доброе дело... и оно бесполезно.,Хоть раз в жизни я делаю доброе дело... и оно бесполезно.,0.9434542059898376,0.9434542059898376,0.9434542059898376
1,1,Let's try something.,Давайте что-нибудь попробуем!,Давай попробуем что-нибудь.,Давай попробуем что-нибудь.,Давай попробуем что-нибудь.,0.9939804077148438,0.9939804077148438,0.9939804077148438
2,2,Let's try something.,Давайте что-нибудь попробуем.,Давай попробуем что-нибудь.,Давай попробуем что-нибудь.,Давай попробуем что-нибудь.,0.9939804077148438,0.9939804077148438,0.9939804077148438
3,3,I have to go to sleep.,Мне пора идти спать.,Мне пора спать.,Мне пора спать.,Мне пора спать.,0.9976523518562317,0.9976523518562317,0.9976523518562317
4,4,I have to go to sleep.,Мне нужно идти спать.,Мне пора спать.,Мне пора спать.,Мне пора спать.,0.9976523518562317,0.9976523518562317,0.9976523518562317
5,5,I have to go to sleep.,Я должен ложиться спать.,Мне пора спать.,Мне пора спать.,Мне пора спать.,0.9976523518562317,0.9976523518562317,0.9976523518562317
6,6,Today is June 18th and it is Muiriel's birthday!,"Сегодня 18 июня, и это день рождения Мюриэл!",Сегодня 18 июня и день рождения Мюриэля!,Сегодня 18 июня и день рождения Мюриэля!,Сегодня 18 июня и день рождения Мюриэля!,0.9479482173919678,0.9479482173919678,0.9479482173919678
7,7,Muiriel is 20 now.,Мюриэл сейчас 20.,Мюриэлу уже 20.,Мюриэлу уже 20.,Мюриэлу уже 20.,0.9945201277732849,0.9945201277732849,0.9945201277732849
8,8,"The password is ""Muiriel"".",Пароль «Muiriel».,"Пароль ""Muiriel"".","Пароль ""Muiriel"".","Пароль ""Muiriel"".",0.9673482775688171,0.9673482775688171,0.9673482775688171
9,9,I will be back soon.,Я скоро вернусь.,Я скоро вернусь.,Я скоро вернусь.,Я скоро вернусь.,0.9966405630111694,0.9966405630111694,0.9966405630111694
10,10,I will be back soon.,Скоро вернусь.,Я скоро вернусь.,Я скоро вернусь.,Я скоро вернусь.,0.9966405630111694,0.9966405630111694,0.9966405630111694
11,11,I will be back soon.,Я скоро.,Я скоро вернусь.,Я скоро вернусь.,Я скоро вернусь.,0.9966405630111694,0.9966405630111694,0.9966405630111694
12,12,I'm at a loss for words.,У меня нет слов.,Я не в настроении для слов.,Я теряю слова.,Мне не хватает слов.,0.996745228767395,0.9957315325737,0.9966278672218323
13,13,I'm at a loss for words.,Я не могу подобрать слов.,Я не в настроении для слов.,Я теряю слова.,Мне не хватает слов.,0.996745228767395,0.9957315325737,0.9966278672218323
14,14,This is never going to end.,Это никогда не закончится.,Это никогда не закончится.,Это никогда не закончится.,Это никогда не закончится.,0.99643874168396,0.99643874168396,0.99643874168396
15,15,This is never going to end.,Это никогда не кончится.,Это никогда не закончится.,Это никогда не закончится.,Это никогда не закончится.,0.99643874168396,0.99643874168396,0.99643874168396
16,16,I just don't know what to say.,"Не знаю, что и сказать.","Я просто не знаю, что сказать.","Я просто не знаю, что сказать.","Я просто не знаю, что сказать.",0.9974203109741211,0.9974203109741211,0.9974203109741211
17,17,I just don't know what to say.,"Я даже не знаю, что сказать...","Я просто не знаю, что сказать.","Я просто не знаю, что сказать.","Я просто не знаю, что сказать.",0.9974203109741211,0.9974203109741211,0.9974203109741211
18,18,That was an evil bunny.,Это был злой кролик.,Это был злой кролик.,Это был злой кролик.,Это был злой кролик.,0.997338593006134,0.997338593006134,0.997338593006134
19,19,I was in the mountains.,Я был в горах.,Я был в горах.,Я был в горах.,Я был в горах.,0.9883766770362854,0.9883766770362854,0.9883766770362854
20,20,I was in the mountains.,Я была в горах.,Я был в горах.,Я был в горах.,Я был в горах.,0.9883766770362854,0.9883766770362854,0.9883766770362854
21,21,Is it a recent picture?,Это новая фотография?,Это недавняя фотография?,Это недавняя фотография?,Это недавняя фотография?,0.9956691265106201,0.9956691265106201,0.9956691265106201
22,22,Is it a recent picture?,Это недавняя фотография?,Это недавняя фотография?,Это недавняя фотография?,Это недавняя фотография?,0.9956691265106201,0.9956691265106201,0.9956691265106201
23,23,Is it a recent picture?,Это свежая фотография?,Это недавняя фотография?,Это недавняя фотография?,Это недавняя фотография?,0.9956691265106201,0.9956691265106201,0.9956691265106201
24,24,I don't know if I have the time.,"Я не знаю, есть ли у меня время.","Не знаю, есть ли у меня время.","Не знаю, есть ли у меня время.","Не знаю, есть ли у меня время.",0.9939821362495422,0.9939821362495422,0.9939821362495422
25,25,I don't know if I have the time.,"Не знаю, будет ли у меня время.","Не знаю, есть ли у меня время.","Не знаю, есть ли у меня время.","Не знаю, есть ли у меня время.",0.9939821362495422,0.9939821362495422,0.9939821362495422
26,26,Education in this world disappoints me.,Образование в этом мире меня разочаровывает.,Образование в этом мире меня разочаровывает.,Образование в этом мире меня разочаровывает.,Образование в этом мире меня разочаровывает.,0.996488094329834,0.996488094329834,0.996488094329834
27,27,You're in better shape than I am.,"Ты в лучшей форме, чем я.","Ты в лучшей форме, чем я.","Ты в лучшей форме, чем я.","Ты в лучшей форме, чем я.",0.9947681427001953,0.9947681427001953,0.9947681427001953
28,28,You're in better shape than I am.,"Вы в лучшей форме, чем я.","Ты в лучшей форме, чем я.","Ты в лучшей форме, чем я.","Ты в лучшей форме, чем я.",0.9947681427001953,0.9947681427001953,0.9947681427001953
29,29,You are in my way.,Ты на моем пути.,Вы мне мешаете.,Ты стоишь у меня на пути.,Ты стоишь у меня на пути.,0.9981096982955933,0.996875524520874,0.996875524520874
30,30,You are in my way.,Ты мне мешаешь.,Вы мне мешаете.,Ты стоишь у меня на пути.,Ты стоишь у меня на пути.,0.9981096982955933,0.996875524520874,0.996875524520874
31,31,You are in my way.,Ты у меня на пути.,Вы мне мешаете.,Ты стоишь у меня на пути.,Ты стоишь у меня на пути.,0.9981096982955933,0.996875524520874,0.996875524520874
32,32,You are in my way.,Вы у меня на пути.,Вы мне мешаете.,Ты стоишь у меня на пути.,Ты стоишь у меня на пути.,0.9981096982955933,0.996875524520874,0.996875524520874
33,33,This will cost €30.,Это будет стоить 30 евро.,Это будет стоить 30 евро.,Это будет стоить 30 евро.,Это будет стоить 30 евро.,0.9986483454704285,0.9986483454704285,0.9986483454704285
34,34,I make €100 a day.,Я зарабатываю сто евро в день.,Я зарабатываю 100 евро в день.,Я зарабатываю 100 евро в день.,Я зарабатываю 100 евро в день.,0.9978048205375671,0.9978048205375671,0.9978048205375671
35,35,I make €100 a day.,Я зарабатываю 100 евро в день.,Я зарабатываю 100 евро в день.,Я зарабатываю 100 евро в день.,Я зарабатываю 100 евро в день.,0.9978048205375671,0.9978048205375671,0.9978048205375671
36,36,I may give up soon and just nap instead.,"Я, может, скоро сдамся и вместо этого пойду вздремну.",Я могу скоро сдаться и просто вздремнуть вместо этого.,Я могу скоро сдаться и просто вздремнуть вместо этого.,Я могу скоро сдаться и просто вздремнуть вместо этого.,0.9951629638671875,0.9951629638671875,0.9951629638671875
37,37,I may give up soon and just nap instead.,"Я, наверно, скоро прервусь и просто подремлю.",Я могу скоро сдаться и просто вздремнуть вместо этого.,Я могу скоро сдаться и просто вздремнуть вместо этого.,Я могу скоро сдаться и просто вздремнуть вместо этого.,0.9951629638671875,0.9951629638671875,0.9951629638671875
38,38,I may give up soon and just nap instead.,Скоро я могу уступить и немного подремать.,Я могу скоро сдаться и просто вздремнуть вместо этого.,Я могу скоро сдаться и просто вздремнуть вместо этого.,Я могу скоро сдаться и просто вздремнуть вместо этого.,0.9951629638671875,0.9951629638671875,0.9951629638671875
39,39,It's because you don't want to be alone.,"Это потому, что ты не хочешь быть один.","Это потому, что ты не хочешь быть одна.","Это потому, что ты не хочешь быть одна.","Это потому, что ты не хочешь быть одна.",0.9954617619514465,0.9954617619514465,0.9954617619514465
40,40,It's because you don't want to be alone.,"Это потому, что ты не хочешь быть одинок.","Это потому, что ты не хочешь быть одна.","Это потому, что ты не хочешь быть одна.","Это потому, что ты не хочешь быть одна.",0.9954617619514465,0.9954617619514465,0.9954617619514465
41,41,That won't happen.,Этого не случится.,Этого не случится.,Этого не случится.,Этого не случится.,0.99673992395401,0.99673992395401,0.99673992395401
42,42,That won't happen.,Это не случится.,Этого не случится.,Этого не случится.,Этого не случится.,0.99673992395401,0.99673992395401,0.99673992395401
43,43,That won't happen.,Этого не будет.,Этого не случится.,Этого не случится.,Этого не случится.,0.99673992395401,0.99673992395401,0.99673992395401
44,44,Sometimes he can be a strange guy.,Иногда он очень странен.,Иногда он может быть странным парнем.,Иногда он может быть странным парнем.,Иногда он может быть странным парнем.,0.9951037168502808,0.9951037168502808,0.9951037168502808
45,45,Sometimes he can be a strange guy.,Иногда он очень странный парень.,Иногда он может быть странным парнем.,Иногда он может быть странным парнем.,Иногда он может быть странным парнем.,0.9951037168502808,0.9951037168502808,0.9951037168502808
46,46,I'll do my best not to disturb your studying.,Я постараюсь не мешать тебе учиться.,Я постараюсь не мешать тебе учиться.,Я постараюсь не мешать тебе учиться.,Я постараюсь не мешать тебе учиться.,0.9971060156822205,0.9971060156822205,0.9971060156822205
47,47,I'll do my best not to disturb your studying.,Я попытаюсь не отвлекать тебя от занятий.,Я постараюсь не мешать тебе учиться.,Я постараюсь не мешать тебе учиться.,Я постараюсь не мешать тебе учиться.,0.9971060156822205,0.9971060156822205,0.9971060156822205
48,48,I can only wonder if this is the same for everyone else.,"Я могу только догадываться, так ли это и для всех остальных.","Я могу только спросить, одно ли это для всех остальных.","Я могу только спросить, одно ли это для всех остальных.","Я могу только спросить, одно ли это для всех остальных.",0.7633318901062012,0.7633318901062012,0.7633318901062012
49,49,I suppose it's different when you think about it over the long term.,"Я полагаю, это будет выглядеть несколько иначе, когда ты подумаешь об этом в долгосрочном плане.","Полагаю, это другое, когда ты думаешь об этом в долгосрочной перспективе.","Полагаю, это другое, когда ты думаешь об этом в долгосрочной перспективе.","Полагаю, это по-другому, когда ты думаешь об этом в долгосрочной перспективе.",0,0,0.9589558243751526
50,50,I miss you.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
51,51,I miss you.,Скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
52,52,I miss you.,Мне тебя не хватает.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
53,53,I miss you.,Я скучаю по вам.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
54,54,I miss you.,Скучаю по вам.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
55,55,I miss you.,Мне Вас не хватает.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
56,56,I miss you.,Мне вас не хватает.,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
57,57,I miss you.,Я скучаю по тебе!,Я скучаю по тебе.,Я скучаю по тебе.,Я скучаю по тебе.,0.9962940812110901,0.9962940812110901,0.9962940812110901
58,58,I'll call them tomorrow when I come back.,"Я позвоню им завтра, когда вернусь домой.","Я позвоню им завтра, когда вернусь.","Я позвоню им завтра, когда вернусь.","Я позвоню им завтра, когда вернусь.",0.9956965446472168,0.9956965446472168,0.9956965446472168
59,59,I'll call them tomorrow when I come back.,"Я позвоню им завтра, когда вернусь.","Я позвоню им завтра, когда вернусь.","Я позвоню им завтра, когда вернусь.","Я позвоню им завтра, когда вернусь.",0.9956965446472168,0.9956965446472168,0.9956965446472168
60,60,I always liked mysterious characters more.,Мне всегда больше нравились таинственные персонажи.,Мне всегда нравились загадочные персонажи.,Мне всегда нравились загадочные персонажи.,Мне всегда нравились загадочные персонажи.,0.9971674084663391,0.9971674084663391,0.9971674084663391
61,61,You should sleep.,Тебе лучше поспать.,Тебе нужно поспать.,Тебе нужно поспать.,Тебе нужно поспать.,0.9961026906967163,0.9961026906967163,0.9961026906967163
62,62,You should sleep.,Тебе надо спать.,Тебе нужно поспать.,Тебе нужно поспать.,Тебе нужно поспать.,0.9961026906967163,0.9961026906967163,0.9961026906967163
63,63,You should sleep.,Вам надо спать.,Тебе нужно поспать.,Тебе нужно поспать.,Тебе нужно поспать.,0.9961026906967163,0.9961026906967163,0.9961026906967163
64,64,I'm going to go.,Я пойду.,Я пойду.,Я пойду.,Я пойду.,0.9933463335037231,0.9933463335037231,0.9933463335037231
65,65,I'm going to go.,Я собираюсь идти.,Я пойду.,Я пойду.,Я пойду.,0.9933463335037231,0.9933463335037231,0.9933463335037231
